;KabupatenKota;Provinsi;Pulau;PusatPemerintahan;Kecamatan;KelurahanDesa
0;Kabupaten Aceh Barat Daya;Aceh;Sumatera;Blangpidie;9;132
1;Kabupaten Aceh Barat;Aceh;Sumatera;Meulaboh;12;321
2;Kabupaten Aceh Besar;Aceh;Sumatera;Kota Jantho;23;592
3;Kabupaten Aceh Jaya;Aceh;Sumatera;Calang;6;172
4;Kabupaten Aceh Selatan;Aceh;Sumatera;Tapak Tuan;16;369
5;Kabupaten Aceh Singkil;Aceh;Sumatera;Singkil;10;127
6;Kabupaten Aceh Tamiang;Aceh;Sumatera;Karang Baru;12;128
7;Kabupaten Aceh Tengah;Aceh;Sumatera;Takengon;14;268
8;Kabupaten Aceh Tenggara;Aceh;Sumatera;Kutacane;11;164
9;Kabupaten Aceh Timur;Aceh;Sumatera;Idi Rayeuk;21;580
10;Kabupaten Aceh Utara;Aceh;Sumatera;Lhoksukon;27;1160
11;Kabupaten Agam;Sumatera Barat;Sumatera;Lubuk Basung;16;82
12;Kabupaten Alor;Nusa Tenggara Timur;Kepulauan Nusa Tenggara;Kalabahi;0;0
13;Kabupaten Asahan;Sumatera Utara;Sumatera;Kisaran;0;0
14;Kabupaten Asmat;Papua;Kepulauan Maluku;Agats;0;0
15;Kabupaten Badung;Bali;Kepulauan Nusa Tenggara;Badung;0;0
16;Kabupaten Balangan;Kalimantan Selatan;Kalimantan;Paringin;8;152
17;Kabupaten Bandung Barat;Jawa Barat;Jawa;Ngamprah;0;0
18;Kabupaten Bandung;Jawa Barat;Jawa;Soreang;0;0
19;Kabupaten Banggai Kepulauan;Sulawesi Tengah;Sulawesi;Banggai;0;0
20;Kabupaten Banggai;Sulawesi Tengah;Sulawesi;Luwuk;0;0
21;Kabupaten Bangka Barat;Kepulauan Bangka Belitung;Sumatera;Toboali;0;0
22;Kabupaten Bangka Selatan;Kepulauan Bangka Belitung;Sumatera;Mentok;0;0
23;Kabupaten Bangka Tengah;Kepulauan Bangka Belitung;Sumatera;Koba;0;0
24;Kabupaten Bangka;Kepulauan Bangka Belitung;Sumatera;Sungai Liat;0;0
25;Kabupaten Bangkalan;Jawa Timur;Jawa;Bangkalan;0;0
26;Kabupaten Bangli;Bali;Kepulauan Nusa Tenggara;Bangli;0;0
27;Kabupaten Banjar;Kalimantan Selatan;Kalimantan;Martapura;19;288
28;Kabupaten Banjarnegara;Jawa Tengah;Jawa;Banjarnegara;0;0
29;Kabupaten Bantaeng;Sulawesi Selatan;Sulawesi;Bantaeng;0;0
30;Kabupaten Bantul;Yogyakarta;Jawa;Kecamatan Bantul;0;0
31;Kabupaten Banyuasin;Sumatera Selatan;Sumatera;Pangkalan Balai;0;0
32;Kabupaten Banyumas;Jawa Tengah;Jawa;Purwokerto;0;0
33;Kabupaten Banyuwangi;Jawa Timur;Jawa;Banyuwangi;0;0
34;Kabupaten Barito Kuala;Kalimantan Selatan;Kalimantan;Marabahan;17;200
35;Kabupaten Barito Selatan;Kalimantan Tengah;Kalimantan;Buntok;0;0
36;Kabupaten Barito Timur;Kalimantan Tengah;Kalimantan;Tamiang;0;0
37;Kabupaten Barito Utara;Kalimantan Tengah;Kalimantan;Muara Teweh;0;0
38;Kabupaten Barru;Sulawesi Selatan;Sulawesi;Barru;0;0
39;Kabupaten Batang;Jawa Tengah;Jawa;Batang;0;0
40;Kabupaten Batanghari;Jambi;Sumatera;Muara Bulian;0;0
41;Kabupaten Batubara;Sumatera Utara;Sumatera;Limapuluh;0;0
42;Kabupaten Bekasi;Jawa Barat;Jawa;Cikarang;0;0
43;Kabupaten Belitung Timur;Kepulauan Bangka Belitung;Sumatera;Manggar;0;0
44;Kabupaten Belitung;Kepulauan Bangka Belitung;Sumatera;Tanjung Pandan;0;0
45;Kabupaten Belu;Nusa Tenggara Timur;Kepulauan Nusa Tenggara;Atambua;0;0
46;Kabupaten Bener Meriah;Aceh;Sumatera;Simpang Tiga Redelong;7;232
47;Kabupaten Bengkalis;Riau;Sumatera;Bengkalis;0;0
48;Kabupaten Bengkayang;Kalimantan Barat;Kalimantan;Bengkayang;0;0
49;Kabupaten Bengkulu Selatan;Bengkulu;Sumatera;Kota Manna;0;0
50;Kabupaten Bengkulu Tengah;Bengkulu;Sumatera;Karang Tinggi;0;0
51;Kabupaten Bengkulu Utara;Bengkulu;Sumatera;Arga Makmur;0;0
52;Kabupaten Berau;Kalimantan Timur;Kalimantan;Tanjungredep;0;0
53;Kabupaten Biak Numfor;Papua;Kepulauan Maluku;Biak;0;0
